Zone,Cereales/Milliers_tonnes,Année,Animaux/Milliers_tonnes,Vegetaux/Milliers_tonnes,population_millions,Soualimentation/million
Afghanistan,6350,2013,2280.0,8891.0,30.552,7.9
Afrique du Sud,14155,2013,7614.0,55649.0,52.776,2.6
Albanie,703,2013,1355.0,2609.0,3.173,0.2
Algérie,4914,2013,4395.0,21964.0,39.208,1.7
Allemagne,47757,2013,43621.0,110926.0,82.727,
Angola,1663,2013,764.0,28093.0,21.472,8.1
Antigua-et-Barbuda,0,2013,9.0,11.0,0.09,
Arabie saoudite,880,2013,3262.0,5616.0,28.829,1.6
Argentine,51398,2013,18743.0,157381.0,41.446,1.5
Arménie,545,2013,810.0,3009.0,2.977,0.1
Australie,35212,2013,15685.0,85271.0,23.343,
Autriche,4873,2013,4781.0,13348.0,8.495,
Azerbaïdjan,2906,2013,2235.0,7539.0,9.413,
Bahamas,1,2013,24.0,155.0,0.377,
Bangladesh,37103,2013,7833.0,60461.0,156.595,26.1
Barbade,0,2013,29.0,241.0,0.285,0.1
Belgique,3099,2013,6100.0,18396.0,11.104,
Belize,106,2013,182.0,1740.0,0.332,0.1
Bolivie (État plurinational de),2356,2013,1459.0,18229.0,10.671,2.2
Bosnie-Herzégovine,1223,2013,805.0,3059.0,3.829,
Botswana,19,2013,229.0,273.0,2.021,0.5
Brunéi Darussalam,1,2013,37.0,23.0,0.418,0.1
Brésil,97157,2013,65202.0,1078403.0,200.362,
Bulgarie,9136,2013,1662.0,13902.0,7.223,0.4
Burkina Faso,4768,2013,755.0,11109.0,16.935,3.4
Bélarus,7232,2013,8362.0,22226.0,9.357,
Bénin,1623,2013,180.0,10686.0,10.323,1.0
Cabo Verde,6,2013,42.0,150.0,0.499,0.1
Cambodge,7190,2013,1004.0,17781.0,15.135,2.8
Cameroun,3024,2013,743.0,24030.0,22.254,1.7
Canada,66406,2013,15620.0,111933.0,35.182,
Chili,3961,2013,7934.0,18731.0,17.62,0.6
Chine - RAS de Hong-Kong,0,2013,384.0,86.0,7.204,
"Chine, Taiwan Province de",1207,2013,3736.0,8857.0,23.33,1.0
"Chine, continentale",485073,2013,230681.0,1700232.0,1385.567,136.6
Chypre,52,2013,317.0,474.0,1.141,0.1
Colombie,3216,2013,9875.0,62685.0,48.321,4.1
Congo,31,2013,136.0,2832.0,4.448,1.8
Costa Rica,164,2013,1480.0,12524.0,4.872,0.3
Croatie,3188,2013,1134.0,6142.0,4.29,
Cuba,881,2013,1093.0,24931.0,11.266,
Côte d'Ivoire,2068,2013,442.0,19978.0,20.316,4.7
Danemark,9120,2013,8470.0,15261.0,5.619,
Djibouti,0,2013,32.0,44.0,0.873,0.2
Dominique,0,2013,9.0,110.0,0.072,0.1
El Salvador,1032,2013,759.0,9818.0,6.34,0.7
Espagne,25083,2013,16118.0,83622.0,46.927,
Estonie,976,2013,963.0,1567.0,1.287,0.1
Eswatini,120,2013,73.0,6690.0,1.25,0.3
Fidji,5,2013,146.0,2285.0,0.881,0.1
Finlande,4065,2013,3087.0,6201.0,5.426,
France,67469,2013,33525.0,144611.0,64.291,
Fédération de Russie,90073,2013,47749.0,215547.0,142.834,
Gabon,46,2013,78.0,1443.0,1.672,0.2
Gambie,204,2013,62.0,395.0,1.849,0.2
Ghana,2556,2013,685.0,35904.0,25.905,1.6
Grenade,0,2013,5.0,42.0,0.106,
Grèce,4818,2013,2839.0,17729.0,11.128,
Guatemala,1798,2013,1166.0,39343.0,15.468,2.5
Guinée,2748,2013,454.0,7281.0,11.745,1.8
Guinée-Bissau,194,2013,61.0,774.0,1.704,0.4
Guyana,553,2013,129.0,3482.0,0.8,0.1
Géorgie,488,2013,753.0,1834.0,4.341,0.3
Haïti,557,2013,239.0,4833.0,10.317,5.2
Honduras,673,2013,1040.0,11339.0,8.096,1.3
Hongrie,13607,2013,2961.0,22354.0,9.955,
Inde,240926,2013,158226.0,968044.0,1252.14,216.3
Indonésie,66056,2013,20382.0,218177.0,249.866,22.6
Iran (République islamique d'),15612,2013,10723.0,69142.0,77.447,4.2
Iraq,6350,2013,699.0,12224.0,33.765,9.1
Irlande,2403,2013,7335.0,4166.0,4.627,
Israël,310,2013,2392.0,4514.0,7.733,
Italie,17738,2013,17055.0,63800.0,60.99,
Jamaïque,3,2013,350.0,2827.0,2.784,0.3
Japon,8204,2013,18753.0,40198.0,127.144,
Jordanie,103,2013,584.0,2488.0,7.274,0.9
Kazakhstan,18041,2013,6219.0,29329.0,16.441,
Kenya,4259,2013,6010.0,22940.0,44.354,10.0
Kirghizistan,1718,2013,1665.0,4839.0,5.548,0.4
Koweït,22,2013,228.0,408.0,3.369,
Lesotho,120,2013,79.0,339.0,2.074,0.3
Lettonie,1949,2013,1221.0,3192.0,2.05,
Liban,179,2013,575.0,2664.0,4.822,0.5
Libéria,180,2013,52.0,1481.0,4.294,1.6
Lituanie,4475,2013,2261.0,7500.0,3.017,
Luxembourg,173,2013,330.0,263.0,0.53,
Macédoine du Nord,553,2013,477.0,2193.0,2.107,0.1
Madagascar,2795,2013,1101.0,13059.0,22.925,8.2
Malaisie,1823,2013,4634.0,32399.0,29.717,1.0
Malawi,3850,2013,469.0,19462.0,16.363,3.2
Maldives,0,2013,132.0,11.0,0.345,0.1
Mali,4999,2013,2045.0,8551.0,15.302,1.0
Malte,12,2013,71.0,129.0,0.429,
Maroc,9862,2013,5233.0,26263.0,33.008,1.4
Maurice,1,2013,76.0,4396.0,1.244,0.1
Mauritanie,244,2013,815.0,336.0,3.89,0.3
Mexique,33150,2013,22213.0,148607.0,122.332,5.3
Mongolie,386,2013,841.0,793.0,2.839,0.5
Monténégro,8,2013,201.0,390.0,0.621,
Mozambique,2122,2013,545.0,20197.0,25.834,7.0
Myanmar,21489,2013,8566.0,51373.0,53.259,6.6
Namibie,87,2013,633.0,835.0,2.303,0.7
Nicaragua,886,2013,1301.0,10172.0,6.08,1.1
Niger,4270,2013,1471.0,8555.0,17.831,1.9
Nigéria,25405,2013,3891.0,175740.0,173.615,13.4
Norvège,965,2013,5615.0,1822.0,5.043,
Nouvelle-Calédonie,4,2013,15.0,63.0,0.256,0.1
Nouvelle-Zélande,1107,2013,22234.0,4662.0,4.506,
Népal,7081,2013,2308.0,19354.0,27.797,2.5
Oman,48,2013,454.0,715.0,3.632,0.2
Ouganda,3440,2013,2603.0,23718.0,37.579,12.6
Ouzbékistan,7592,2013,9304.0,26084.0,28.934,2.1
Pakistan,36012,2013,44550.0,128336.0,182.143,38.1
Panama,329,2013,715.0,4187.0,3.864,0.4
Paraguay,6067,2013,1373.0,25948.0,6.802,0.8
Pays-Bas,1755,2013,16943.0,24693.0,16.759,
Philippines,19677,2013,8963.0,98086.0,98.394,14.0
Pologne,28456,2013,18413.0,67142.0,38.217,
Portugal,1277,2013,3150.0,8715.0,10.608,
Pérou,4232,2013,12666.0,34110.0,30.376,2.8
Roumanie,20884,2013,6382.0,37630.0,21.699,
Royaume-Uni,20084,2013,19783.0,47819.0,63.384,
Rwanda,967,2013,350.0,12602.0,11.777,3.6
République centrafricaine,229,2013,249.0,2254.0,4.616,2.0
République de Corée,3934,2013,8576.0,23671.0,49.263,
République de Moldova,2654,2013,717.0,6434.0,3.487,
République dominicaine,599,2013,1283.0,11152.0,10.404,1.3
République démocratique populaire lao,3492,2013,314.0,8116.0,6.77,1.2
République populaire démocratique de Corée,4267,2013,1307.0,12576.0,24.895,10.6
République-Unie de Tanzanie,8136,2013,3174.0,37675.0,49.253,16.4
Saint-Vincent-et-les Grenadines,1,2013,41.0,90.0,0.109,0.1
Sainte-Lucie,0,2013,7.0,61.0,0.182,
Sao Tomé-et-Principe,1,2013,6.0,124.0,0.193,0.1
Serbie,9122,2013,2274.0,18855.0,9.511,0.5
Sierra Leone,958,2013,292.0,6256.0,6.092,1.6
Slovaquie,3412,2013,1264.0,6431.0,5.45,0.2
Slovénie,460,2013,780.0,1074.0,2.072,
Soudan,5208,2013,6993.0,23734.0,37.964,8.3
Sri Lanka,3298,2013,1032.0,9729.0,21.273,2.3
Suisse,838,2013,4711.0,4258.0,8.078,
Suriname,175,2013,55.0,548.0,0.539,0.1
Suède,4986,2013,3982.0,10231.0,9.571,
Sénégal,1127,2013,956.0,4016.0,14.133,1.9
Tadjikistan,1302,2013,1125.0,5246.0,8.208,
Tchad,2451,2013,525.0,4628.0,12.825,4.9
Tchéquie (la),7518,2013,3707.0,17007.0,10.702,
Thaïlande,29525,2013,7836.0,193928.0,67.011,5.6
Timor-Leste,159,2013,44.0,327.0,1.133,0.3
Togo,1110,2013,121.0,3342.0,6.817,1.3
Trinité-et-Tobago,6,2013,93.0,182.0,1.341,0.1
Tunisie,1328,2013,1791.0,8158.0,10.997,0.5
Turkménistan,1458,2013,2521.0,3817.0,5.24,0.3
Turquie,37225,2013,23196.0,114236.0,74.933,
Ukraine,62638,2013,15653.0,133654.0,45.239,
Uruguay,3594,2013,3382.0,8205.0,3.407,
Vanuatu,1,2013,71.0,688.0,0.253,0.1
Venezuela (République bolivarienne du),3029,2013,4303.0,19565.0,30.405,1.9
Viet Nam,34567,2013,11303.0,96972.0,91.68,10.4
Yémen,863,2013,1047.0,3078.0,24.407,7.2
Zambie,2886,2013,430.0,10096.0,14.539,7.0
Zimbabwe,1011,2013,740.0,7174.0,14.15,6.6
Égypte,22217,2013,9849.0,85999.0,82.056,3.9
Émirats arabes unis,55,2013,412.0,780.0,9.346,0.4
Équateur,2598,2013,4295.0,20042.0,15.738,1.3
États-Unis d'Amérique,433686,2013,154474.0,740194.0,320.051,
Éthiopie,22646,2013,5195.0,40907.0,94.101,25.3
Îles Salomon,3,2013,48.0,691.0,0.561,0.1
